title,course,strand,date,q1,q2,q3,q4,starter,preparer,demo,description,content,scale
Aesthetic Game Design Components,GameDev2,02-01,22,"Students will be able to explain and implement key aesthetics including: animation, sprites or 3D models, environment, audio and user interface.","Students will work on a mini-project where they design and implement key aesthetic components in a game prototype. This includes creating and animating sprites or 3D models, designing game environments, incorporating audio elements, and designing a user-friendly UI. Each student or group will focus on a specific component and then integrate their work into a cohesive game prototype.",Students will follow along with detailed tutorials and live demonstrations to learn how to create and implement each aesthetic component. The teacher will provide step-by-step guidance and feedback as students progress through the activity.,"Students will submit their completed game prototype, including all implemented aesthetic components, along with a report that explains the design choices and implementation process. Submissions will be made via Canvas.","Begin with a discussion where students share their favorite game aesthetics and why they find them appealing. Questions to guide the discussion: What game aesthetics do you find most engaging and why? How do different aesthetic elements (animation, environment, audio, UI) contribute to the overall game experience? Can you think of a game where the aesthetics greatly enhanced or detracted from the gameplay experience?",Student1,The teacher will demonstrate: How to create and animate sprites using tools like Photoshop and Unity. How to design 3D models and environments using Blender. How to integrate audio elements using Audacity and Unity's audio system. How to design and implement a user interface in Unity.,"Animation and Sprites/3D Models: Creating and animating 2D sprites in Photoshop. Designing and animating 3D models in Blender. Importing and using these assets in Unity. Environment Design: Techniques for designing game environments. Using Unity's terrain tools and asset store to create immersive environments. Audio Elements: Creating and editing sound effects and background music using Audacity. Implementing audio elements in Unity, including sound triggers and background music loops. User Interface Design: Principles of effective UI design. Using Unity's UI tools to create interactive menus, health bars, and other UI elements.","Links and Resources: Websites: Unity Learn - Tutorials for creating animations, environments, and UI in Unity. Blender - Resources and tutorials for creating 3D models. Photoshop Tutorials - Official Adobe Photoshop tutorials for creating sprites. Web Activities: Audacity - Free, open-source tool for audio editing. Krita - Free, open-source painting program for creating 2D sprites.",3
Functional Game Design Components,GameDev2,02-02,23,"Students will be able to explain and implement key functional components including: physics, user input, user feedback, and scripting.","Students will work on a mini-project where they design and implement key functional components in a game prototype. This includes incorporating physics for realistic movement and interactions, handling user input for controls, providing user feedback through visual or auditory cues, and scripting game logic and mechanics.",Students will follow along with detailed tutorials and live demonstrations to learn how to create and implement each functional component. The teacher will provide step-by-step guidance and feedback as students progress through the activity.,"Students will submit their completed game prototype, including all implemented functional components, along with a report that explains the design choices and implementation process. Submissions will be made via Canvas.","Begin with a discussion where students share their experiences with functional components in games. Questions to guide the discussion: What functional components do you find most critical for gameplay and why? How do physics, user input, and user feedback enhance your gaming experience? Can you think of a game where functional components greatly enhanced or detracted from the gameplay experience?",Student1,"The teacher will demonstrate: How to implement physics in Unity, including gravity, collisions, and forces. How to handle user input for character controls and UI interactions. How to provide user feedback through visual effects, sound, and haptic feedback. How to script game mechanics and logic using C# in Unity.","Physics: Setting up physics in Unity, including Rigidbody and Collider components. Applying forces and detecting collisions. Creating realistic movement and interactions. User Input: Handling keyboard, mouse, and gamepad input in Unity. Setting up input mappings and customizing controls. Creating responsive and intuitive control schemes. User Feedback: Providing visual feedback through particle effects, animations, and UI elements. Incorporating sound effects and background music for auditory feedback. Using haptic feedback for an immersive experience. Scripting: Writing C# scripts to control game mechanics and logic. Using Unity's API to manipulate game objects and components. Implementing game states, events, and interactions. ","Links and Resources: Websites: Unity Learn - Tutorials for implementing physics, input handling, and scripting in Unity. Unity Manual - Physics - Official documentation on physics in Unity. C# Programming Guide - Official Microsoft guide for C# programming. Web Activities: Project: Roll-a-Ball - A beginner project on Unity Learn that covers physics and input handling. Project: Survival Shooter - A more advanced project that includes scripting game mechanics and user feedback.",3
Design Usability and Accessibility,GameDev2,02-03,24,"Students will implement the design control concepts via: player controls, ADA compliance, and player immersion","Students will design and implement player controls, ADA-compliant features, and immersive elements in a game prototype. They will create a report detailing how these elements enhance usability and accessibility.","Students will follow along with tutorials and live demonstrations. They will receive guidance on implementing player controls, ADA compliance features, and immersive design elements.","Students will submit their game prototype, including implemented usability and accessibility features, along with a report explaining their design choices and implementation. Submissions will be made via Canvas.",Begin with a discussion where students share their thoughts on usability and accessibility in games. Questions to guide the discussion: What are some games that have excellent usability and accessibility features? What makes them stand out? How can player controls impact the overall gaming experience? Why is ADA compliance important in game design?,Student1,"The teacher will demonstrate: Creating intuitive and responsive player controls in Unity. Implementing ADA-compliant features such as colorblind modes, adjustable font sizes, and alternative input methods. Enhancing player immersion through environmental design, sound, and narrative elements.","Details: Player Controls: Designing intuitive control schemes. Implementing responsive controls using Unity's Input System. Customizing control settings for different input devices (keyboard, mouse, gamepad). ADA Compliance: Understanding ADA guidelines for game design. Implementing features such as colorblind modes, subtitles, adjustable text sizes, and remappable controls. Ensuring audio and visual elements are accessible to all players. Player Immersion: Designing immersive environments and characters. Using sound and music to enhance the gaming experience. Implementing narrative elements that engage players and enhance immersion.",Links and Resources: Websites: Unity Learn - Tutorials on creating player controls and enhancing accessibility in Unity. ADA Compliance in Games - Official guidelines and resources on ADA compliance. Game Accessibility Guidelines - Comprehensive guidelines for making games accessible. Web Activities: Project: 2D Game Kit - Unity project that includes player control implementation. Project: Accessibility in Games - Unity course on implementing accessibility features.,3
Interface Elements,GameDev2,02-04,25,"Students will implement classifications of interface elements by: understanding diegetic elements, non-diegetic elements, spacial elements, and meta elements",Students will design and implement various interface elements in a game prototype. They will create a report explaining their choices and how these elements enhance the gameplay experience.,Students will follow along with tutorials and live demonstrations. They will receive guidance on how to implement each type of interface element effectively.,"Students will submit their game prototype, including implemented interface elements, along with a report explaining their design choices and implementation. Submissions will be made via Canvas.",Begin with a discussion where students share their thoughts on different interface elements in games. Questions to guide the discussion: What are some examples of effective interface elements in games you’ve played? How do different types of interface elements impact your gaming experience? What challenges might designers face when implementing interface elements?,Student1,"The teacher will demonstrate: Implementing diegetic elements (e.g., in-game objects that convey information). Implementing non-diegetic elements (e.g., HUD, score, health bar). Implementing spatial elements (e.g., visual cues that exist in the game world but are not part of the narrative). Implementing meta elements (e.g., elements that provide information outside of the game world context, like screen overlays).","Details: Diegetic Elements: Elements that exist within the game world and are visible to the player character. Examples: In-game maps, character health indicators on the character model, environmental cues. Non-Diegetic Elements: Elements that are visible to the player but not the character. Examples: Health bars, score counters, menus, and HUD elements. Spatial Elements: Elements that are part of the game’s environment but not directly part of the narrative. Examples: Waypoints, enemy markers, interactive object highlights. Meta Elements: Elements that provide information outside the game world context. Examples: Screen overlays, vibration feedback, external narrative elements.",Links and Resources: Websites: Unity Learn - Tutorials on creating various interface elements in Unity. Gamasutra - Articles on best practices for game interface design. Game UI Database - A collection of user interfaces from different games for reference. Web Activities: Project: RPG UI - Unity project for creating RPG-style interfaces. Project: Space Shooter - Unity project including HUD and interface elements.,3
Communication Features and Interface Design Quiz,GameDev2,02-PS,26,Students will be tested on communication features and game interface design.,,,,,,,,,3
Beta Testing,GameDev2,03-01,27,Students will beta test class games with feedback from testers and making adjustments.,Students will conduct beta tests for their class games by inviting peers to play and provide feedback. They will analyze the feedback and make necessary adjustments to their games. A report documenting the feedback received and changes made will be submitted.,"Students will receive guided practice on how to set up a beta test, collect feedback, and analyze it to make meaningful improvements. The teacher will provide a framework for creating feedback forms and interpreting the data.",Students will submit their updated game along with a report detailing the feedback received and the adjustments made based on that feedback. Submissions will be made via Canvas.,Begin with a discussion where students share their understanding and experiences with beta testing. Questions to guide the discussion: What is the purpose of beta testing in game development? Have you participated in a beta test before? What was your experience like? What kind of feedback do you think is most helpful during beta testing?,Student1,The teacher will demonstrate: Setting up a beta test environment. Creating effective feedback forms. Collecting and organizing feedback. Analyzing feedback to identify common issues and areas for improvement. Implementing changes based on feedback.,"Details: Beta Testing Setup: Prepare the game for testing (ensure it is in a playable state). Define the scope of the beta test (which aspects of the game need feedback).Feedback Collection: Create forms or surveys to collect structured feedback from testers. Use questions that cover various aspects of the game, such as gameplay mechanics, user interface, graphics, and overall enjoyment. Feedback Analysis: Organize feedback into categories (e.g., bugs, gameplay issues, suggestions). Identify common themes or repeated issues. Prioritize issues based on their impact on the game experience. Implementing Adjustments: Make changes to the game based on the prioritized feedback. Test the changes internally before releasing the updated version to testers.",Links and Resources:Websites: Unity Learn - Tutorials on beta testing and feedback implementation. Gamasutra - Articles on best practices for beta testing. BetaBound - Resources and tools for beta testing. Web Activities: Unity Beta Testing Guide - Guide on conducting beta tests in Unity. Feedback Analysis Techniques - Techniques for analyzing beta test feedback.,3
Marketing,GameDev2,03-02,28,"Students will use marketing strategies to advertise their game by: identifying target audience, researching marketing platforms, choosing a license model, understanding the role of community management in marketing, advertising in two mediums, and understanding monetized versus free game model.","Students will develop a marketing plan for their game, including identifying their target audience, selecting marketing platforms, creating advertisements, and deciding on a license model. They will also discuss the role of community management and compare monetized versus free game models. The final submission will be a comprehensive marketing plan.","Students will receive guided practice on creating marketing plans, identifying target audiences, selecting marketing platforms, and creating advertisements. The teacher will provide examples and templates to help students understand each component.",Students will submit their comprehensive marketing plan via Canvas. The plan should include: Identification of target audience. Selected marketing platforms. Chosen license model. Examples of advertisements in two different mediums. Explanation of the role of community management. Comparison of monetized versus free game models.,Begin with a discussion where students share their understanding of marketing and its importance in game development. Questions to guide the discussion: What is the purpose of marketing in game development? How do you determine who your target audience is? What are some effective ways to advertise a game?,Student1,"The teacher will demonstrate: How to identify a target audience using market research. How to research and select marketing platforms (social media, gaming forums, influencers). Different license models (free-to-play, paid, subscription-based) and their implications. Creating advertisements for different mediums (video ad, social media post). The importance of community management in maintaining and growing a player base. Comparing monetized versus free game models and their impact on marketing strategy.","Details: Target Audience Identification: Define demographics (age, gender, location). Identify psychographics (interests, behaviors). Marketing Platforms Research: Explore various platforms (social media, forums, gaming websites). Select platforms that align with the target audience. License Model Selection: Explain different license models (free-to-play, paid, subscription-based). Choose a model that suits the game and target audience. Community Management: Discuss the role of community managers. Explore strategies for engaging and maintaining a community (events, updates, feedback). Advertisement Creation: Create advertisements for two different mediums (e.g., video ad for YouTube, image ad for Instagram). Use tools like Canva, Adobe Spark, or video editing software. Monetized vs. Free Game Models: Compare the benefits and drawbacks of monetized and free game models. Discuss how each model affects marketing strategies.",Links and Resources: Websites: Gamasutra - Articles on game marketing strategies. GameDev.net - Community discussions on marketing and advertising. Web Activities: Unity Marketing Guide - Comprehensive guide on game marketing. Canva - Tool for creating marketing materials.,3
Game Release,GameDev2,03-03,29,"Students will publish or release their game by: researching intellectual properties, explaining piracy and copyright, and publishing to a platform.","Students will complete the process of preparing their game for release by researching intellectual property laws, discussing the impact of piracy and copyright, and publishing their game to a platform. The final submission will be a report that includes their research findings and a link to their published game.","Students will receive guided practice on how to conduct research on intellectual property, copyright, and piracy in the context of game development. The teacher will provide resources and examples to help students understand these concepts. Additionally, students will get a step-by-step guide on how to publish a game to a chosen platform.",Students will submit a comprehensive report via Canvas. The report should include: Research findings on intellectual property laws. Explanation of piracy and copyright infringement. Steps taken to publish their game. A link to their published game.,"Begin with a discussion where students share their initial thoughts on intellectual property, piracy, and copyright. Questions to guide the discussion: What do you know about intellectual property and how it relates to game development? Why is it important to protect your game from piracy? What are some common platforms for publishing games?",Student1,"The teacher will demonstrate: How to conduct research on intellectual property laws, focusing on resources such as the U.S. Copyright Office and Creative Commons. The impact of piracy on the game industry and how copyright laws help protect developers. The process of publishing a game on various platforms, such as Steam, itch.io, or the Google Play Store, including creating developer accounts, preparing game files, and adhering to platform guidelines.","Details: Intellectual Property Laws: Define key terms: copyright, trademark, patent. Explore resources like the U.S. Copyright Office and Creative Commons. Understand how to protect your game's assets. Piracy and Copyright: Explain what piracy is and how it affects game developers. Discuss ways to prevent and address piracy. Highlight the importance of adhering to copyright laws. Publishing a Game: Choose a platform for publishing (e.g., Steam, itch.io, Google Play Store). Create a developer account on the chosen platform. Prepare game files for upload (e.g., executable files, graphics, descriptions). Follow the platform's guidelines for publishing.",Links and Resources: Websites: U.S. Copyright Office - Information on copyright laws and registration. Creative Commons - Licensing tools and information. Web Activities: Steamworks - Guide to publishing games on Steam. itch.io - Information on publishing games on itch.io. Google Play Console - Guide to publishing apps on Google Play.,3
Game Maintenance,GameDev2,03-04,30,"Students will provide for maintenance of a game by: developing strategies for post release content, bug fixes and updates.","Students will create a maintenance plan for their game, including strategies for handling post-release content, bug fixes, and updates. The final submission will be a detailed document outlining their maintenance plan, including schedules, types of updates, and procedures for handling bugs and player feedback.",Students will receive guided practice on how to develop and implement a maintenance plan for a game. The teacher will provide examples and resources to help students understand the key components of a maintenance plan.,Students will submit their maintenance plan via Canvas. The plan should include: Strategies for post-release content updates. Procedures for identifying and fixing bugs. Schedule for regular updates and maintenance. Methods for gathering and incorporating player feedback.,Begin with a discussion where students share their initial thoughts on game maintenance and post-release support. Questions to guide the discussion: Why is post-release maintenance important for a game? What are some common post-release issues that developers need to address? How can developers keep players engaged with their game after its initial release?,Student1,"The teacher will demonstrate: How to create a post-release content update plan, including types of content (e.g., new levels, characters, events). How to identify and prioritize bugs using tools like bug tracking software. The process of scheduling regular updates and maintenance. Methods for gathering player feedback through surveys, forums, and social media.","Details: Post-Release Content Updates: Plan for new content such as levels, characters, and in-game events. Schedule for regular content updates to keep players engaged. Bug Fixes: Methods for identifying bugs through player feedback and testing. Prioritizing bugs based on severity and impact on gameplay. Using bug tracking tools to manage and resolve issues. Regular Updates and Maintenance: Developing a schedule for regular updates and maintenance. Ensuring the game remains compatible with new hardware and software. Addressing performance issues and improving game stability. Player Feedback: Gathering feedback through surveys, forums, and social media. Analyzing feedback to identify common issues and areas for improvement. Incorporating player suggestions into future updates.",Links and Resources: Websites: Gamasutra - Articles and resources on game development and maintenance. Game Developer - Insights and tips on post-release game support. Web Activities: Bugzilla - Bug tracking software to manage and resolve issues. Trello - Project management tool for planning and scheduling updates.,3
Post Production Quiz,GameDev2,03-PS,31,"Students will be tested on marketing strategies, engage in game testing and releasing a game.",,,,,,,,,3
State Certification Test,GameDev2,00-00,32,,,,,,,,,,3
